WSD_INFORMATION	CUI	NUM_SENSES	GOLD_EMERGENCE_YEAR	PREDICTED_EMERGENCE_YEAR	MinYearGoldSENSEdata	MaxYearGoldSENSEdata	StartGoldData	EndGoldData	GoldYearRange	EvalStatus	IndivError
AA	C0002520	2	0	0	1947	2018	1945	2018	73	TN	0
AA	C0001972	2	0	0	1945	2018	1945	2018	73	TN	0
ADA	C0001457	2	0	0	1955	2018	1955	2018	63	TN	0
ADA	C0002456	2	0	0	1955	2018	1955	2018	63	TN	0
ADH	C0003779	2	1978	0	1976	2018	1975	2018	43	FN	43
ADH	C0001942	2	0	0	1975	2018	1975	2018	43	TN	0
ADP	C0004374	2	0	0	1956	2018	1956	2018	62	TN	0
ADP	C0001459	2	1958	0	1959	2018	1956	2018	62	FN	62
ALS	C0002736	2	0	1948	1948	2018	1948	2018	70	FP	70
ALS	C0003372	2	0	0	1968	2018	1948	2018	70	TN	0
ANA	C0002463	2	1962	0	1963	2017	1962	2018	56	FN	56
ANA	C0003243	2	0	0	1962	2018	1962	2018	56	TN	0
Adrenal	C0001625	2	0	0	1945	2018	1945	2018	73	TN	0
Adrenal	C0014563	2	0	0	1945	2018	1945	2018	73	TN	0
Ala	C0001898	3	0	0	1947	2018	1947	2018	71	TN	0
Ala	C0002563	3	1954	1991	1953	2018	1947	2018	71	FP	37
Ala	C0051405	3	0	0	1947	2018	1947	2018	71	TN	0
Astragalus	C0330845	2	0	0	1947	2018	1947	2018	71	TN	0
Astragalus	C0039277	2	0	0	1947	2018	1947	2018	71	TN	0
B-Cell Leukemia	C0023434	2	0	0	1986	2018	1986	2018	32	TN	0
B-Cell Leukemia	C2004493	2	0	1986	1988	2018	1986	2018	32	FP	32
BAT	C0006298	2	0	0	1949	2018	1946	2018	72	TN	0
BAT	C0008139	2	0	0	1946	2018	1946	2018	72	TN	0
BLM	C0005859	2	0	0	1971	2018	1971	2018	47	TN	0
BLM	C0005740	2	0	0	1981	2018	1971	2018	47	TN	0
BPD	C0006012	2	0	0	1980	2018	1980	2018	38	TN	0
BPD	C0006287	2	1980	1980	1981	2018	1980	2018	38	TP	0
BR	C0006137	2	0	0	1946	2018	1946	2018	72	TN	0
BR	C0006222	2	0	1946	1946	2018	1946	2018	72	FP	72
BSA	C0005902	2	0	0	1952	2018	1952	2018	66	TN	0
BSA	C0036774	2	0	0	1952	2018	1952	2018	66	TN	0
BSE	C0085209	2	0	1991	1991	2018	1991	2018	27	FP	27
BSE	C0085105	2	1991	0	1991	2018	1991	2018	27	FN	27
Borrelia	C0006033	2	0	1979	1979	2018	1979	2018	39	FP	39
Borrelia	C0024198	2	0	0	1983	2018	1979	2018	39	TN	0
Brucella abortus	C0006304	2	0	0	1946	2018	1946	2018	72	TN	0
Brucella abortus	C0302363	2	0	0	1946	2018	1946	2018	72	TN	0
CAD	C1956346	2	0	0	1983	2018	1983	2018	35	TN	0
CAD	C0011905	2	1983	0	1985	2018	1983	2018	35	FN	35
CAM	C0007578	2	0	1986	1981	2018	1981	2018	37	FP	37
CAM	C0178551	2	2002	0	2003	2018	1981	2018	37	FN	37
CCD	C0751951	2	0	0	1965	2018	1965	2018	53	TN	0
CCD	C0008928	2	1997	0	1965	2017	1965	2018	53	FN	53
CCl4	C0209338	2	0	0	1946	2018	1946	2018	72	TN	0
CCl4	C0007022	2	1994	0	1991	2018	1946	2018	72	FN	72
CDA	C0002876	2	0	0	1979	2018	1979	2018	39	TN	0
CDA	C0092801	2	1982	1982	1983	2018	1979	2018	39	TP	0
CDR	C0011485	2	0	0	1973	2018	1973	2018	45	TN	0
CDR	C0021024	2	0	0	1998	2018	1973	2018	45	TN	0
CH	C0039021	2	0	0	1946	2018	1946	2018	72	TN	0
CH	C0008115	2	1946	0	1946	2018	1946	2018	72	FN	72
CI	C0008107	2	0	0	1949	2018	1949	2018	69	TN	0
CI	C0022326	2	0	0	1951	2018	1949	2018	69	TN	0
CIS	C0162854	2	0	0	1972	2018	1972	2018	46	TN	0
CIS	C0007099	2	1991	0	1992	2018	1972	2018	46	FN	46
CLS	C0265252	2	0	1996	2002	2018	1996	2018	22	FP	22
CLS	C0343084	2	0	0	1996	2018	1996	2018	22	TN	0
CP	C0007789	3	0	0	1946	2018	1946	2018	72	TN	0
CP	C0033477	3	0	0	1946	2018	1946	2018	72	TN	0
CP	C0008925	3	1971	0	1946	2018	1946	2018	72	FN	72
CPDD	C0553730	2	1971	0	1972	2018	1971	2018	47	FN	47
CPDD	C0008838	2	0	1971	1971	2018	1971	2018	47	FP	47
CRF	C0022661	2	0	0	1956	2018	1954	2018	64	TN	0
CRF	C0010132	2	0	0	1954	2018	1954	2018	64	TN	0
CTX	C0238052	2	0	0	1960	2018	1960	2018	58	TN	0
CTX	C0010583	2	1997	0	1974	2018	1960	2018	58	FN	58
Ca	C0006675	3	0	0	1945	2018	1945	2018	73	TN	0
Ca	C0006823	3	1945	0	1945	2018	1945	2018	73	FN	73
Ca	C0006754	3	0	0	1945	2018	1945	2018	73	TN	0
Callus	C0376154	2	0	0	1972	2018	1972	2018	46	TN	0
Callus	C0006767	2	0	1972	1972	2018	1972	2018	46	FP	46
Cell	C1136359	2	0	1969	1969	2018	1969	2018	49	FP	49
Cell	C0007634	2	2010	0	1999	2018	1969	2018	49	FN	49
Cement	C1706094	2	0	1957	1957	2018	1957	2018	61	FP	61
Cement	C0011343	2	0	0	1957	2018	1957	2018	61	TN	0
Cholera	C0008359	2	0	0	1945	2018	1945	2018	73	TN	0
Cholera	C0008354	2	0	0	1946	2018	1945	2018	73	TN	0
Cilia	C0008778	2	0	2003	1950	2018	1950	2018	68	FP	68
Cilia	C0015422	2	0	0	1950	2018	1950	2018	68	TN	0
Coffee	C0085952	2	0	0	1960	2018	1960	2018	58	TN	0
Coffee	C0009237	2	2001	0	1962	2018	1960	2018	58	FN	58
Cold	C0009264	3	0	0	1945	2018	1945	2018	73	TN	0
Cold	C0024117	3	1945	1945	1945	2018	1945	2018	73	TP	0
Cold	C0009443	3	1998	2000	1959	2018	1945	2018	73	TP	2
Compliance	C0009563	2	0	1974	1974	2018	1974	2018	44	FP	44
Compliance	C1321605	2	0	0	1974	2018	1974	2018	44	TN	0
Cortex	C0007776	2	1948	0	1950	2017	1945	2018	73	FN	73
Cortex	C0001614	2	0	0	1945	2018	1945	2018	73	TN	0
Cortical	C0022655	3	1945	0	1945	2018	1945	2018	73	FN	73
Cortical	C0001613	3	0	0	1945	2018	1945	2018	73	TN	0
Cortical	C0007776	3	0	0	1947	2018	1945	2018	73	TN	0
Crack	C0085163	2	0	0	1986	2018	1986	2018	32	TN	0
Crack	C0040441	2	0	0	1990	2018	1986	2018	32	TN	0
DAT	C0114838	2	0	0	1974	2018	1974	2018	44	TN	0
DAT	C0002395	2	1989	0	1989	2018	1974	2018	44	FN	44
DBA	C1260899	2	0	0	1972	2018	1972	2018	46	TN	0
DBA	C0025923	2	1999	0	2001	2018	1972	2018	46	FN	46
DDD	C0011037	2	0	0	1962	2018	1962	2018	56	TN	0
DDD	C0026256	2	0	0	1963	2018	1962	2018	56	TN	0
DDS	C0950121	3	0	0	1960	2018	1960	2018	58	TN	0
DDS	C0085104	3	1988	1995	1990	2018	1960	2018	58	FP	7
DDS	C0010980	3	1999	0	2001	2017	1960	2018	58	FN	58
DE	C0017480	2	0	1945	1945	2018	1945	2018	73	FP	73
DE	C0011198	2	0	0	1945	2018	1945	2018	73	TN	0
DI	C0032246	2	0	1978	1946	2018	1946	2018	72	FP	72
DI	C0011848	2	0	0	1946	2018	1946	2018	72	TN	0
DON	C0028652	2	0	0	1975	2018	1975	2018	43	TN	0
DON	C0012020	2	1979	0	1981	2018	1975	2018	43	FN	43
Digestive	C0012238	2	0	0	1945	2018	1945	2018	73	TN	0
Digestive	C0012240	2	0	0	1945	2018	1945	2018	73	TN	0
EGG	C0029974	2	0	0	1945	2018	1945	2018	73	TN	0
EGG	C0013710	2	0	0	1945	2018	1945	2018	73	TN	0
EM	C0014921	2	1973	0	1975	2018	1946	2018	72	FN	72
EM	C0026019	2	0	0	1946	2018	1946	2018	72	TN	0
EMS	C0015063	2	0	0	1967	2018	1967	2018	51	TN	0
EMS	C0013961	2	1974	0	1975	2018	1967	2018	51	FN	51
ERP	C0008310	2	1978	0	1978	2018	1956	2018	62	FN	62
ERP	C0015214	2	0	0	1956	2018	1956	2018	62	TN	0
ERUPTION	C1533692	2	0	0	1945	2018	1945	2018	73	TN	0
ERUPTION	C0015230	2	0	1945	1945	2018	1945	2018	73	FP	73
Eels	C0013671	2	0	0	1951	2018	1951	2018	67	TN	0
Eels	C0677644	2	2003	0	2004	2017	1951	2018	67	FN	67
Epi	C0014582	2	0	0	1945	2018	1945	2018	73	TN	0
Epi	C0014563	2	0	1945	1980	2018	1945	2018	73	FP	73
Erythrocytes	C0014772	2	0	0	1945	2018	1945	2018	73	TN	0
Erythrocytes	C0014792	2	0	0	1945	2018	1945	2018	73	TN	0
Exercises	C0015259	2	0	0	1945	2018	1945	2018	73	TN	0
Exercises	C0452240	2	0	0	1945	2018	1945	2018	73	TN	0
FA	C0015625	2	0	0	1946	2018	1945	2018	73	TN	0
FA	C0016410	2	0	0	1945	2018	1945	2018	73	TN	0
FTC	C0206682	2	0	0	1982	2017	1982	2018	36	TN	0
FTC	C0041713	2	1992	0	1993	2018	1982	2018	36	FN	36
Fe	C0376520	2	0	0	1945	2018	1945	2018	73	TN	0
Fe	C0302583	2	1995	0	1946	2018	1945	2018	73	FN	73
Fish	C0162789	2	0	0	1945	2018	1945	2018	73	TN	0
Fish	C0016163	2	1990	0	1953	2018	1945	2018	73	FN	73
Follicle	C0221971	2	0	1949	1949	2018	1949	2018	69	FP	69
Follicle	C0018120	2	0	0	1949	2018	1949	2018	69	TN	0
Follicles	C0018120	2	0	0	1949	2018	1949	2018	69	TN	0
Follicles	C0221971	2	0	0	1949	2018	1949	2018	69	TN	0
GAG	C0017973	2	1988	0	1982	2018	1949	2018	69	FN	69
GAG	C0017346	2	0	1985	1949	2018	1949	2018	69	FP	69
Ganglion	C0017067	2	1946	0	1946	2018	1946	2018	72	FN	72
Ganglion	C1258666	2	2006	0	1946	2018	1946	2018	72	FN	72
Gas	C0017110	2	1945	0	1945	2018	1945	2018	73	FN	73
Gas	C0016204	2	0	0	1945	2018	1945	2018	73	TN	0
Glycoside	C0017977	2	0	0	1946	2018	1946	2018	72	TN	0
Glycoside	C0007158	2	1946	0	1946	2018	1946	2018	72	FN	72
HCl	C0020259	2	0	0	1946	2018	1946	2018	72	TN	0
HCl	C0023443	2	1975	0	1954	2018	1946	2018	72	FN	72
HGF	C0062534	2	0	1984	1984	2018	1984	2018	34	FP	34
HGF	C0021760	2	0	0	1984	2018	1984	2018	34	TN	0
HIV	C0019682	2	0	0	1985	2018	1985	2018	33	TN	0
HIV	C0019693	2	1987	0	1987	2018	1985	2018	33	FN	33
HPS	C0242994	2	0	0	2000	2018	1994	2018	24	TN	0
HPS	C0079504	2	0	0	1994	2018	1994	2018	24	TN	0
HR	C0018810	2	0	0	1950	2018	1947	2018	71	TN	0
HR	C0010343	2	0	0	1947	2018	1947	2018	71	TN	0
Haemophilus ducreyi	C0018481	2	0	1977	1977	2018	1977	2018	41	FP	41
Haemophilus ducreyi	C0007947	2	0	0	1978	2018	1977	2018	41	TN	0
Hemlock	C0242872	2	2004	0	2002	2017	2002	2018	16	FN	16
Hemlock	C0949851	2	0	0	2002	2018	2002	2018	16	TN	0
Heregulin	C0752253	2	0	0	1994	2018	1992	2018	26	TN	0
Heregulin	C0626201	2	0	1992	1992	2018	1992	2018	26	FP	26
Hip	C0022122	2	0	1974	1946	2018	1946	2018	72	FP	72
Hip	C0019552	2	0	0	1947	2018	1946	2018	72	TN	0
IA	C0021487	2	1946	0	1946	2018	1946	2018	72	FN	72
IA	C0022037	2	0	0	1946	2018	1946	2018	72	TN	0
INDO	C0021246	2	1961	1960	1963	2018	1949	2018	69	TP	1
INDO	C0021247	2	0	0	1949	2018	1949	2018	69	TN	0
IP	C0021171	2	2000	0	1989	2018	1986	2018	32	FN	32
IP	C0021069	2	0	2000	1986	2018	1986	2018	32	FP	32
Ice	C0025611	3	0	0	1946	2018	1946	2018	72	TN	0
Ice	C0020746	3	0	0	1946	2018	1946	2018	72	TN	0
Ice	C0534519	3	1990	1992	1991	2018	1946	2018	72	TP	2
Ion	C0022023	2	0	0	1945	2018	1945	2018	73	TN	0
Ion	C0022024	2	1945	0	1946	2018	1945	2018	73	FN	73
Iris	C1001362	2	0	0	1945	2018	1945	2018	73	TN	0
Iris	C0022077	2	0	0	1946	2018	1945	2018	73	TN	0
JP	C0031106	2	0	0	1946	2018	1946	2018	72	TN	0
JP	C0022341	2	1946	0	1947	2018	1946	2018	72	FN	72
LABOR	C0043227	2	1945	0	1945	2018	1945	2018	73	FN	73
LABOR	C0022864	2	0	0	1945	2018	1945	2018	73	TN	0
Lactation	C0022925	2	0	0	1945	2018	1945	2018	73	TN	0
Lactation	C0006147	2	0	0	1945	2018	1945	2018	73	TN	0
Language	C0023008	2	0	0	1946	2018	1946	2018	72	TN	0
Language	C0033348	2	1986	0	1958	2018	1946	2018	72	FN	72
Laryngeal	C0023081	2	0	0	1945	2018	1945	2018	73	TN	0
Laryngeal	C0023078	2	0	0	1945	2018	1945	2018	73	TN	0
Lawsonia	C1068388	2	0	0	2000	2018	2000	2018	18	TN	0
Lawsonia	C0752045	2	0	0	2002	2018	2000	2018	18	TN	0
Leishmaniasis	C1548483	2	0	0	1945	2018	1945	2018	73	TN	0
Leishmaniasis	C0023281	2	2005	1945	1947	2018	1945	2018	73	FP	60
Lupus	C0024131	3	0	0	1945	2018	1945	2018	73	TN	0
Lupus	C0024141	3	1945	0	1946	2018	1945	2018	73	FN	73
Lupus	C0024138	3	0	1956	1945	2018	1945	2018	73	FP	73
MAF	C0079786	2	0	0	1980	2018	1980	2018	38	TN	0
MAF	C0919482	2	2001	0	1998	2018	1980	2018	38	FN	38
MBP	C0014063	2	0	0	1973	2018	1973	2018	45	TN	0
MBP	C0065661	2	1999	1999	1984	2018	1973	2018	45	TP	0
MCC	C0007129	2	0	0	1988	2018	1988	2018	30	TN	0
MCC	C0162804	2	1990	0	1991	2014	1988	2018	30	FN	30
MHC	C0027100	2	0	0	1978	2018	1978	2018	40	TN	0
MHC	C0024518	2	0	0	1986	2018	1978	2018	40	TN	0
MRS	C0025235	2	0	0	1961	2018	1950	2018	68	TN	0
MRS	C0024487	2	0	1953	1950	2018	1950	2018	68	FP	68
Malaria	C0206255	2	0	0	1945	2018	1945	2018	73	TN	0
Malaria	C0024530	2	1991	0	1945	2018	1945	2018	73	FN	73
Medullary	C0001629	2	0	0	1946	2018	1946	2018	72	TN	0
Medullary	C0025148	2	0	0	1947	2018	1946	2018	72	TN	0
Milk	C0026131	2	0	0	1945	2018	1945	2018	73	TN	0
Milk	C0026140	2	0	0	1945	2018	1945	2018	73	TN	0
Moles	C0324740	2	0	0	1946	2018	1946	2018	72	TN	0
Moles	C0027960	2	0	0	1946	2018	1946	2018	72	TN	0
NBS	C0027819	2	0	1966	1947	2018	1947	2018	71	FP	71
NBS	C0398791	2	2003	0	2002	2017	1947	2018	71	FN	71
NEUROFIBROMATOSIS	C0085113	2	0	1990	1990	2018	1990	2018	28	FP	28
NEUROFIBROMATOSIS	C0162678	2	1990	0	1991	2018	1990	2018	28	FN	28
NM	C0025033	2	0	0	1946	2018	1946	2018	72	TN	0
NM	C0027972	2	1963	1962	1946	2018	1946	2018	72	TP	1
NPC	C0220756	2	0	0	1998	2018	1998	2018	20	TN	0
NPC	C0028587	2	2005	0	2006	2018	1998	2018	20	FN	20
Nurse	C0006147	2	0	0	1945	2018	1945	2018	73	TN	0
Nurse	C0028661	2	0	0	1945	2018	1945	2018	73	TN	0
Nursing	C0028677	2	0	0	1945	2018	1945	2018	73	TN	0
Nursing	C0006147	2	0	1945	1945	2018	1945	2018	73	FP	73
OCD	C0028768	2	0	0	1975	2018	1975	2018	43	TN	0
OCD	C0029421	2	1983	0	1984	2018	1975	2018	43	FN	43
OH	C0028905	2	0	0	1946	2018	1946	2018	72	TN	0
OH	C0063146	2	0	1957	1946	2018	1946	2018	72	FP	72
ORI	C0242961	2	0	0	1993	2018	1993	2018	25	TN	0
ORI	C0206601	2	1993	1993	1993	2018	1993	2018	25	TP	0
Orf	C0013570	2	0	0	1980	2018	1980	2018	38	TN	0
Orf	C0079941	2	1986	1986	1982	2018	1980	2018	38	TP	0
PAC	C0949780	2	0	0	1995	2018	1995	2018	23	TN	0
PAC	C0033036	2	0	0	2001	2014	1995	2018	23	TN	0
PAF	C0032172	2	0	0	1979	2018	1979	2018	39	TN	0
PAF	C0037019	2	0	0	1980	2013	1979	2018	39	TN	0
PCA	C0149576	5	1972	1999	1974	2016	1957	2018	61	FP	27
PCA	C0030131	5	0	1957	1957	2018	1957	2018	61	FP	61
PCA	C0030625	5	1987	1999	1989	2018	1957	2018	61	FP	12
PCA	C0429865	5	1957	1999	1957	2018	1957	2018	61	FP	42
PCA	C0078944	5	1999	0	1960	2018	1957	2018	61	FN	61
PCB	C0032447	2	0	0	1971	2018	1971	2018	47	TN	0
PCB	C0033223	2	0	1971	1971	2018	1971	2018	47	FP	47
PCD	C0162638	2	0	0	1971	2018	1971	2018	47	TN	0
PCD	C0022521	2	0	1989	1991	2018	1971	2018	47	FP	47
PCP	C0031381	2	0	0	1972	2018	1972	2018	46	TN	0
PCP	C0030855	2	0	0	1972	2018	1972	2018	46	TN	0
PEP	C0135981	2	0	1978	1971	2018	1971	2018	47	FP	47
PEP	C0031642	2	1978	0	1980	2017	1971	2018	47	FN	47
PHA	C0031858	2	2002	0	1976	2017	1975	2018	43	FN	43
PHA	C0030779	2	0	0	1975	2018	1975	2018	43	TN	0
POL	C0032356	2	0	0	1989	2018	1946	2018	72	TN	0
POL	C0017360	2	0	0	1946	2018	1946	2018	72	TN	0
PR	C0034833	2	0	0	1945	2018	1945	2018	73	TN	0
PR	C0034044	2	1972	0	1973	2018	1945	2018	73	FN	73
PVC	C0032624	2	0	0	1974	2018	1974	2018	44	TN	0
PVC	C0151636	2	0	1991	1988	2018	1974	2018	44	FP	44
Parotitis	C0030583	2	0	0	1945	2018	1945	2018	73	TN	0
Parotitis	C0026780	2	0	0	1945	2018	1945	2018	73	TN	0
Pharmaceutical	C0013058	2	1963	0	1963	2018	1945	2018	73	FN	73
Pharmaceutical	C0031336	2	0	0	1945	2018	1945	2018	73	TN	0
Phosphorus	C0031705	2	0	0	1945	2018	1945	2018	73	TN	0
Phosphorus	C0080014	2	0	0	1945	2018	1945	2018	73	TN	0
Phosphorylase	C0017916	2	0	1971	1971	2018	1971	2018	47	FP	47
Phosphorylase	C0917783	2	2005	0	1973	2018	1971	2018	47	FN	47
Plague	C0032064	2	0	0	1945	2018	1945	2018	73	TN	0
Plague	C0032066	2	1959	0	1946	2018	1945	2018	73	FN	73
Plaque	C0011389	2	0	0	1950	2018	1950	2018	68	TN	0
Plaque	C0333463	2	0	0	1950	2018	1950	2018	68	TN	0
Platelet	C0005821	2	0	0	1945	2018	1945	2018	73	TN	0
Platelet	C0032181	2	0	0	1945	2018	1945	2018	73	TN	0
Pleuropneumonia	C0026934	2	1945	0	1945	2018	1945	2018	73	FN	73
Pleuropneumonia	C0032241	2	0	0	1945	2018	1945	2018	73	TN	0
Potassium	C0032821	2	0	0	1945	2018	1945	2018	73	TN	0
Potassium	C0162800	2	1990	0	1948	2018	1945	2018	73	FN	73
Projection	C0033363	2	0	0	1970	2018	1970	2018	48	TN	0
Projection	C0016538	2	0	0	1970	2018	1970	2018	48	TN	0
RA	C0003873	3	0	0	1946	2018	1945	2018	73	TN	0
RA	C0034625	3	0	0	1945	2018	1945	2018	73	TN	0
RA	C0002893	3	0	0	1945	2018	1945	2018	73	TN	0
RB	C0035930	2	0	1949	1947	2018	1947	2018	71	FP	71
RB	C0035335	2	0	0	1951	2018	1947	2018	71	TN	0
RBC	C0014792	2	0	0	1945	2018	1945	2018	73	TN	0
RBC	C0014772	2	0	0	1945	2018	1945	2018	73	TN	0
RSV	C0035236	2	0	0	1960	2018	1955	2018	63	TN	0
RSV	C0086943	2	0	0	1955	2018	1955	2018	63	TN	0
Radiation	C0851346	2	0	0	1945	2018	1945	2018	73	TN	0
Radiation	C1522449	2	0	0	1946	2018	1945	2018	73	TN	0
Respiration	C0035203	2	0	0	1945	2018	1945	2018	73	TN	0
Respiration	C0282636	2	0	0	1945	2018	1945	2018	73	TN	0
Retinal	C0035298	2	0	1945	1945	2018	1945	2018	73	FP	73
Retinal	C0035331	2	0	0	1945	2018	1945	2018	73	TN	0
Root	C0242726	2	0	0	1945	2018	1945	2018	73	TN	0
Root	C0040452	2	0	0	1945	2018	1945	2018	73	TN	0
SARS	C1175175	2	0	0	2002	2018	2002	2018	16	TN	0
SARS	C1175743	2	2002	2002	2002	2018	2002	2018	16	TP	0
SARS-associated coronavirus	C1175743	2	0	2002	2002	2018	2002	2018	16	FP	16
SARS-associated coronavirus	C1175175	2	2002	0	2002	2018	2002	2018	16	FN	16
SCD	C0085298	2	0	0	1946	2018	1946	2018	72	TN	0
SCD	C0002895	2	1988	0	1950	2018	1946	2018	72	FN	72
SLS	C0037506	2	0	1973	1991	2018	1971	2018	47	FP	47
SLS	C0037231	2	0	0	1971	2018	1971	2018	47	TN	0
SPR	C0164209	2	0	0	1981	2018	1981	2018	37	TN	0
SPR	C0597731	2	1996	1996	1998	2018	1981	2018	37	TP	0
SS	C0085077	2	0	0	1948	2018	1948	2018	70	TN	0
SS	C0039101	2	1990	0	1964	2018	1948	2018	70	FN	70
STEM	C0162731	2	0	0	1992	2018	1992	2018	26	TN	0
STEM	C0242767	2	0	1992	1994	2018	1992	2018	26	FP	26
Schistosoma mansoni	C0036330	2	0	0	1971	2018	1971	2018	47	TN	0
Schistosoma mansoni	C0036319	2	0	0	1977	2018	1971	2018	47	TN	0
Sodium	C0037570	2	0	0	1945	2018	1945	2018	73	TN	0
Sodium	C0037473	2	1945	0	1945	2018	1945	2018	73	FN	73
Staph	C0038170	2	0	0	1945	2018	1945	2018	73	TN	0
Staph	C0038160	2	0	1945	1945	2018	1945	2018	73	FP	73
Sterilization	C0038280	2	0	0	1945	2018	1945	2018	73	TN	0
Sterilization	C0038288	2	0	0	1945	2018	1945	2018	73	TN	0
Strep	C0038395	2	0	0	1945	2018	1945	2018	73	TN	0
Strep	C0038402	2	0	0	1945	2018	1945	2018	73	TN	0
Synapsis	C0039062	2	0	0	1950	2018	1950	2018	68	TN	0
Synapsis	C0598501	2	1998	0	1951	2018	1950	2018	68	FN	68
TAT	C0017375	3	1988	0	1989	2017	1975	2018	43	FN	43
TAT	C0039341	3	1983	0	1985	2018	1975	2018	43	FN	43
TAT	C0039756	3	0	0	1975	2017	1975	2018	43	TN	0
TEM	C0678118	2	0	0	2004	2015	2002	2018	16	TN	0
TEM	C0040975	2	0	0	2002	2018	2002	2018	16	TN	0
THYMUS	C1015036	3	1948	0	1949	2015	1946	2018	72	FN	72
THYMUS	C0040113	3	0	1974	1946	2018	1946	2018	72	FP	72
THYMUS	C0040112	3	0	0	1946	2018	1946	2018	72	TN	0
TLC	C0040509	2	0	0	1959	2018	1959	2018	59	TN	0
TLC	C0008569	2	1974	0	1959	2018	1959	2018	59	FN	59
TMJ	C0039493	2	0	0	1946	2018	1946	2018	72	TN	0
TMJ	C0039496	2	0	0	1946	2018	1946	2018	72	TN	0
TMP	C0041041	2	0	0	1975	2017	1970	2018	48	TN	0
TMP	C0040079	2	0	0	1970	2018	1970	2018	48	TN	0
TNC	C0076088	2	1983	1983	1985	2018	1980	2018	38	TP	0
TNC	C0077400	2	0	0	1980	2018	1980	2018	38	TN	0
TNT	C0041070	2	0	0	1982	2018	1981	2018	37	TN	0
TNT	C0077404	2	0	1990	1981	2018	1981	2018	37	FP	37
TPA	C0032143	2	1983	1983	1982	2018	1975	2018	43	TP	0
TPA	C0039654	2	0	0	1975	2018	1975	2018	43	TN	0
TPO	C0040052	2	1974	0	1975	2018	1974	2018	44	FN	44
TPO	C0021965	2	0	1974	1974	2018	1974	2018	44	FP	44
TRF	C0021759	2	0	0	1980	2018	1968	2018	50	TN	0
TRF	C0040162	2	0	0	1968	2018	1968	2018	50	TN	0
TSF	C0040052	2	1976	0	1977	2018	1974	2018	44	FN	44
TSF	C0021756	2	0	1974	1974	2018	1974	2018	44	FP	44
TYR	C0041484	2	0	1984	1945	2018	1945	2018	73	FP	73
TYR	C0041485	2	0	0	1945	2018	1945	2018	73	TN	0
Tax	C0144576	2	0	1992	1975	2018	1975	2018	43	FP	43
Tax	C0039371	2	1992	0	1983	2018	1975	2018	43	FN	43
Tolerance	C0013220	2	0	0	1946	2018	1946	2018	72	TN	0
Tolerance	C0020963	2	0	0	1946	2018	1946	2018	72	TN	0
Torula	C0010415	2	0	1957	1945	2018	1945	2018	73	FP	73
Torula	C0010414	2	0	0	1945	2018	1945	2018	73	TN	0
US	C0041618	2	1971	1965	1945	2018	1945	2018	73	FP	6
US	C0041703	2	0	0	1945	2018	1945	2018	73	TN	0
Ventricles	C0007799	2	0	0	1945	2018	1945	2018	73	TN	0
Ventricles	C0018827	2	0	0	1945	2018	1945	2018	73	TN	0
WBS	C0175702	2	0	1993	1982	2018	1982	2018	36	FP	36
WBS	C0004903	2	1994	0	1995	2018	1982	2018	36	FN	36
WT1	C0027708	2	0	0	1946	2018	1946	2018	72	TN	0
WT1	C0148873	2	1991	1989	1991	2018	1946	2018	72	TP	2
Wasp	C0043041	2	0	0	1975	2018	1975	2018	43	TN	0
Wasp	C0258432	2	1993	0	1994	2018	1975	2018	43	FN	43
Yellow Fever	C0301508	2	0	0	1945	2018	1945	2018	73	TN	0
Yellow Fever	C0043395	2	0	0	1945	2018	1945	2018	73	TN	0
cRNA	C0056208	2	1981	0	1982	2018	1975	2018	43	FN	43
cRNA	C1321571	2	0	0	1975	2018	1975	2018	43	TN	0
dC	C0011485	2	1971	0	1973	2018	1966	2018	52	FN	52
dC	C0012764	2	0	0	1966	2018	1966	2018	52	TN	0
drinking	C0684271	2	0	0	1946	2018	1946	2018	72	TN	0
drinking	C0001948	2	1946	1946	1946	2018	1946	2018	72	TP	0
eCG	C1623258	2	1989	0	1945	2018	1945	2018	73	FN	73
eCG	C0018064	2	0	0	1945	2018	1945	2018	73	TN	0
lens	C0023317	3	1951	0	1952	2018	1945	2018	73	FN	73
lens	C0023318	3	0	0	1945	2018	1945	2018	73	TN	0
lens	C0023308	3	0	1945	1945	2018	1945	2018	73	FP	73
lymphogranulomatosis	C0036202	2	0	1945	1945	2018	1945	2018	73	FP	73
lymphogranulomatosis	C0019829	2	0	0	1945	2018	1945	2018	73	TN	0
pI	C0812425	2	0	0	1975	2018	1975	2018	43	TN	0
pI	C0022171	2	0	0	1975	2018	1975	2018	43	TN	0
posterior pituitary	C0032017	2	0	0	1946	2018	1946	2018	72	TN	0
posterior pituitary	C0032009	2	0	0	1947	2017	1946	2018	72	TN	0
rDNA	C0012933	2	0	0	1976	2018	1976	2018	42	TN	0
rDNA	C0012931	2	1980	0	1981	2018	1976	2018	42	FN	42
tomography	C0040395	2	0	0	1947	2018	1947	2018	71	TN	0
tomography	C0040405	2	0	0	1947	2018	1947	2018	71	TN	0
veterinary	C0206212	2	0	0	1945	2018	1945	2018	73	TN	0
veterinary	C0042615	2	0	0	1963	2018	1945	2018	73	TN	0
